disaster_number,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,event_name,iso_code,country,subregion,region,location,origin,associated_types,ofda_bha_response,appeal,declaration,magnitude,magnitude_scale,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,num_injured,num_affected,num_homeless,total_affected,insured_damage_000s_usd,insured_damage_adjusted_000s_usd,total_damage_000s_usd,total_damage_adjusted_000s_usd,cpi,entry_date,last_update,start_date,end_date,days_lasted
2000-0021-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",,,No,No,No,,Kph,2000,1,2,2000,1,4,1.0,12.0,,150.0,162.0,200500.0,354778.0,210000.0,371587.0,56.51429055927763,2003-07-01,2023-09-25,2000-01-02,2000-01-04,2
2000-0067-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",,,No,No,No,249.0,Kph,2000,2,13,2000,2,14,22.0,100.0,900.0,,1000.0,,,,,56.51429055927763,2005-04-24,2023-09-25,2000-02-13,2000-02-14,1
2000-0080-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio provinces",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,55000.0,Km2,2000,2,18,2000,2,22,3.0,,231.0,,231.0,,,,,56.51429055927763,2005-09-16,2023-09-25,2000-02-18,2000-02-22,4
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,No,No,No,113.0,Km2,2000,2,26,2000,2,26,,,600.0,,600.0,,,,,56.51429055927763,2003-07-01,2023-09-25,2000-02-26,2000-02-26,0
2000-0175-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",,,No,No,No,,Kph,2000,3,28,2000,3,28,5.0,,3000.0,300.0,3300.0,,,450000.0,796259.0,56.51429055927763,2003-07-01,2023-09-25,2000-03-28,2000-03-28,0
2000-0232-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson districts (Missouri province)",Brief torrential rain,,No,No,No,,Km2,2000,5,6,2000,5,9,2.0,,,2000.0,2000.0,,,,,56.51429055927763,2005-09-16,2023-09-25,2000-05-06,2000-05-09,3
2000-0240-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,No,No,No,194.0,Km2,2000,5,1,2000,9,1,,,25000.0,400.0,25400.0,200500.0,354778.0,1500000.0,2654196.0,56.51429055927763,2006-08-15,2023-09-25,2000-05-01,2000-09-01,123
2000-0271-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,Oklahoma province,Brief torrential rain,,No,No,No,,Km2,2000,5,6,2000,5,9,1.0,,300.0,,300.0,,,,,56.51429055927763,2005-09-16,2023-09-25,2000-05-06,2000-05-09,3
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,No,No,No,16.0,Km2,2000,5,14,2000,5,14,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25,2000-05-14,2000-05-14,0
2000-0296-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Liberty district (Texas province),,,No,No,No,,Km2,2000,5,19,2000,5,19,,,240.0,,240.0,,,,,56.51429055927763,2003-07-01,2023-09-25,2000-05-19,2000-05-19,0
