"disaster_number","total_deaths","num_injured","num_affected","num_homeless","total_affected","insured_damage_000s_usd","insured_damage_adjusted_000s_usd","total_damage_000s_usd","total_damage_adjusted_000s_usd"
"2000-0021-USA",1,12,NULL,150,162,"200500","354778","210000","371587"
"2000-0067-USA",22,100,900,NULL,1000,NULL,NULL,NULL,NULL
"2000-0080-USA",3,NULL,231,NULL,231,NULL,NULL,NULL,NULL
"2000-0128-USA",NULL,NULL,600,NULL,600,NULL,NULL,NULL,NULL
"2000-0175-USA",5,NULL,3000,300,3300,NULL,NULL,"450000","796259"
"2000-0232-USA",2,NULL,NULL,2000,2000,NULL,NULL,NULL,NULL
"2000-0240-USA",NULL,NULL,25000,400,25400,"200500","354778","1.5e+06","2.654196e+06"
"2000-0271-USA",1,NULL,300,NULL,300,NULL,NULL,NULL,NULL
"2000-0279-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2000-0296-USA",NULL,NULL,240,NULL,240,NULL,NULL,NULL,NULL
"2000-0297-USA",2,NULL,300,NULL,300,NULL,NULL,"100000","176946"
"2000-0338-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"28500","50430"
"2000-0360-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2000-0363-USA",NULL,NULL,800,210,1010,NULL,NULL,NULL,NULL
"2000-0406-USA",NULL,2,8000,75,8077,NULL,NULL,NULL,NULL
"2000-0433-USA",35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2000-0450-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2000-0463-USA",1,15,900,120,1035,NULL,NULL,"8100","14333"
"2000-0465-USA",14,NULL,1000,NULL,1000,NULL,NULL,"1e+06","1.769464e+06"
"2000-0500-USA",NULL,NULL,175,NULL,175,NULL,NULL,"166000","293731"
"2000-0502-USA",NULL,NULL,300,NULL,300,NULL,NULL,NULL,NULL
"2000-0598-USA",NULL,70,25000,104,25174,NULL,NULL,"50000","88473"
"2000-0614-USA",1,115,NULL,NULL,115,"62500","110591","90000","159252"
"2000-0652-USA",2,NULL,14418,3015,17433,NULL,NULL,"219000","387513"
"2000-0756-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2000-0838-USA",57,34,NULL,NULL,34,"200500","354778",NULL,NULL
"2000-0865-USA",NULL,NULL,100,NULL,100,NULL,NULL,"20000","35389"
"2000-0919-USA",4,NULL,NULL,NULL,NULL,"280000","495450","350000","619312"
"2000-0937-USA",12,75,NULL,NULL,75,"200500","354778","500000","884732"
"2000-9339-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.1e+06","1.94641e+06"
"2000-9712-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2001-0099-USA",1,400,NULL,NULL,400,"305000","524853","2e+06","3.441661e+06"
"2001-0102-USA",7,30,900,NULL,930,"200500","345027","250000","430208"
"2001-0106-USA",11,100,NULL,NULL,100,NULL,NULL,NULL,NULL
"2001-0145-USA",4,18,765,30,813,NULL,NULL,"23000","39579"
"2001-0194-USA",NULL,NULL,492,NULL,492,NULL,NULL,"1800","3097"
"2001-0242-USA",41,NULL,102000,70000,172000,"3.5e+06","6.022907e+06","6e+06","1.0324983e+07"
"2001-0262-USA",NULL,NULL,200,NULL,200,NULL,NULL,NULL,NULL
"2001-0266-USA",2,NULL,100,NULL,100,NULL,NULL,NULL,NULL
"2001-0268-USA",1,NULL,4400,NULL,4400,NULL,NULL,"13000","22371"
"2001-0270-USA",1,32,1707,NULL,1739,NULL,NULL,NULL,NULL
"2001-0303-USA",1,10,129,NULL,139,NULL,NULL,NULL,NULL
"2001-0351-USA",NULL,NULL,75,18,93,NULL,NULL,NULL,NULL
"2001-0451-USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2001-0460-USA",2,NULL,10500,4500,15000,NULL,NULL,"20000","34417"
"2001-0473-USA",3,8,360,NULL,368,NULL,NULL,"10000","17208"
"2001-0474-USA",NULL,NULL,225,NULL,225,NULL,NULL,NULL,NULL
"2001-0477-USA",NULL,2,120,NULL,122,NULL,NULL,NULL,NULL
"2001-0564-USA",NULL,7,300,NULL,307,NULL,NULL,NULL,NULL
"2001-0566-USA",2,50,NULL,1000,1050,NULL,NULL,"30000","51625"
"2001-0601-USA",NULL,NULL,360,NULL,360,NULL,NULL,"4000","6883"
"2001-0602-USA",NULL,2,1800,150,1952,NULL,NULL,"7000","12046"
"2001-0722-USA",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2001-0724-USA",9,NULL,600,NULL,600,NULL,NULL,NULL,NULL
"2001-0770-USA",56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2001-0771-USA",11,NULL,NULL,200,200,NULL,NULL,NULL,NULL
"2001-0772-USA",NULL,NULL,3600,NULL,3600,NULL,NULL,NULL,NULL
"2001-0773-USA",NULL,2,200,NULL,202,NULL,NULL,"3000","5162"
"2002-0017-USA",24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2002-0092-USA",NULL,11,NULL,123,134,NULL,NULL,"6600","11180"
