disaster_number,location_id
2000-0003-BGD,209
2000-0003-BGD,210
2000-0003-BGD,211
2000-0003-BGD,212
2000-0003-BGD,213
2000-0009-IRN,214
2000-0020-IND,215
2000-0020-IND,216
2000-0020-IND,217
2000-0033-CHN,218
2000-0036-CHN,218
2000-0038-PHL,219
2000-0038-PHL,220
2000-0038-PHL,221
2000-0038-PHL,222
2000-0038-PHL,223
2000-0041-CHN,224
2000-0050-MNG,225
2000-0050-MNG,226
2000-0054-AFG,227
2000-0054-AFG,228
2000-0066-PHL,229
2000-0082-IDN,230
2000-0089-PHL,231
2000-0094-ISR,232
2000-0095-JOR,233
2000-0095-JOR,234
2000-0095-JOR,235
2000-0095-JOR,236
2000-0117-IDN,237
2000-0119-PAK,238
2000-0146-BGD,211
2000-0156-CHN,239
2000-0159-MYS,240
2000-0163-CHN,241
2000-0176-JPN,242
2000-0188-TUR,243
2000-0188-TUR,244
2000-0188-TUR,245
2000-0200-CHN,246
2000-0211-BGD,209
2000-0211-BGD,212
2000-0229-BGD,209
2000-0229-BGD,213
2000-0230-IDN,247
2000-0257-PHL,248
2000-0270-CHN,246
2000-0270-CHN,249
2000-0270-CHN,250
2000-0272-TUR,251
2000-0274-JPN,252
2000-0281-TUR,253
2000-0281-TUR,254
2000-0283-BGD,209
2000-0291-TUR,255
2000-0291-TUR,256
2000-0293-IDN,257
2000-0298-CHN,258
2000-0302-CHN,258
2000-0302-CHN,259
2000-0302-CHN,260
2000-0305-AFG,261
2000-0306-IND,216
2000-0307-PAK,262
2000-0308-IND,263
2000-0323-IND,264
2000-0326-CHN,259
2000-0326-CHN,260
2000-0330-CHN,260
2000-0330-CHN,218
2000-0332-IND,265
2000-0332-IND,266
2000-0350-CHN,267
2000-0351-PAK,262
2000-0358-IND,216
2000-0358-IND,268
2000-0361-VNM,269
2000-0372-CHN,267
2000-0372-CHN,270
2000-0376-CHN,259
2000-0381-TUR,271
2000-0381-TUR,272
2000-0381-TUR,273
2000-0381-TUR,274
2000-0381-TUR,275
2000-0381-TUR,255
2000-0381-TUR,276
2000-0381-TUR,277
2000-0381-TUR,278
2000-0381-TUR,279
2000-0381-TUR,243
2000-0381-TUR,280
2000-0381-TUR,281
2000-0381-TUR,282
2000-0381-TUR,283
2000-0381-TUR,284
2000-0381-TUR,285
2000-0381-TUR,286
2000-0381-TUR,287
2000-0381-TUR,244
2000-0381-TUR,245
2000-0381-TUR,256
2000-0381-TUR,288
2000-0381-TUR,289
2000-0381-TUR,290
2000-0381-TUR,291
2000-0381-TUR,292
2000-0381-TUR,293
2000-0381-TUR,294
2000-0381-TUR,295
2000-0381-TUR,296
2000-0381-TUR,297
2000-0381-TUR,298
2000-0381-TUR,299
2000-0381-TUR,300
2000-0381-TUR,301
2000-0381-TUR,302
2000-0381-TUR,303
2000-0381-TUR,304
2000-0381-TUR,305
2000-0381-TUR,306
2000-0381-TUR,307
2000-0381-TUR,308
2000-0381-TUR,309
2000-0381-TUR,310
2000-0381-TUR,311
2000-0381-TUR,312
2000-0381-TUR,313
2000-0381-TUR,314
2000-0381-TUR,315
2000-0381-TUR,316
2000-0381-TUR,251
2000-0381-TUR,317
2000-0381-TUR,318
2000-0381-TUR,319
2000-0381-TUR,320
2000-0381-TUR,321
2000-0381-TUR,322
2000-0381-TUR,323
2000-0381-TUR,324
2000-0381-TUR,325
2000-0381-TUR,326
2000-0381-TUR,253
2000-0381-TUR,327
2000-0381-TUR,328
2000-0381-TUR,329
2000-0381-TUR,330
2000-0381-TUR,331
2000-0381-TUR,332
2000-0381-TUR,254
2000-0381-TUR,333
2000-0381-TUR,334
2000-0381-TUR,335
2000-0381-TUR,336
2000-0381-TUR,337
2000-0381-TUR,338
2000-0381-TUR,339
2000-0396-PHL,248
2000-0397-PHL,340
2000-0397-PHL,341
2000-0397-PHL,342
2000-0397-PHL,248
2000-0397-PHL,343
2000-0397-PHL,344
2000-0397-PHL,345
2000-0401-THA,346
2000-0408-VNM,347
2000-0408-VNM,348
2000-0408-VNM,349
2000-0408-VNM,350
2000-0408-VNM,351
2000-0408-VNM,352
2000-0408-VNM,353
2000-0414-PHL,248
2000-0415-IND,354
2000-0425-CHN,355
2000-0426-CHN,260
2000-0438-KHM,356
2000-0438-KHM,357
2000-0438-KHM,358
2000-0438-KHM,359
2000-0439-VNM,360
2000-0444-IND,265
2000-0445-IND,264
2000-0445-IND,265
2000-0445-IND,266
2000-0445-IND,215
2000-0445-IND,361
2000-0445-IND,362
2000-0445-IND,363
2000-0445-IND,364
2000-0445-IND,365
2000-0445-IND,354
2000-0445-IND,366
2000-0445-IND,367
2000-0445-IND,216
2000-0445-IND,268
2000-0445-IND,217
2000-0446-THA,368
2000-0446-THA,346
2000-0446-THA,369
2000-0446-THA,370
2000-0446-THA,371
2000-0446-THA,372
2000-0446-THA,373
2000-0446-THA,374
2000-0446-THA,375
2000-0446-THA,376
2000-0446-THA,377
2000-0446-THA,378
2000-0448-VNM,348
2000-0449-IDN,379
2000-0467-BGD,209
2000-0467-BGD,211
2000-0469-IDN,247
2000-0472-CHN,380
2000-0473-ISR,232
2000-0476-NPL,381
2000-0476-NPL,382
2000-0476-NPL,383
2000-0476-NPL,384
2000-0484-BTN,385
2000-0498-IND,268
2000-0518-VNM,386
2000-0518-VNM,387
2000-0518-VNM,388
2000-0518-VNM,389
2000-0518-VNM,390
2000-0518-VNM,391
2000-0527-CHN,218
2000-0532-CHN,380
2000-0533-CHN,267
2000-0533-CHN,392
2000-0534-IND,264
2000-0539-THA,375
2000-0539-THA,376
2000-0540-VNM,352
2000-0541-VNM,350
2000-0542-VNM,393
2000-0552-TUR,245
2000-0552-TUR,317
2000-0556-CHN,355
2000-0557-CHN,246
2000-0557-CHN,394
2000-0559-CHN,218
2000-0564-AFG,395
2000-0564-AFG,396
2000-0568-IND,216
2000-0576-JPN,397
2000-0576-JPN,398
2000-0582-VNM,399
2000-0583-LAO,400
2000-0583-LAO,401
2000-0583-LAO,402
2000-0583-LAO,403
2000-0593-ISR,232
2000-0605-CHN,250
2000-0606-JPN,397
2000-0606-JPN,398
2000-0610-IND,215
2000-0610-IND,404
2000-0610-IND,217
2000-0613-LKA,405
2000-0617-BGD,210
2000-0617-BGD,211
2000-0631-BGD,211
2000-0656-JPN,406
2000-0656-JPN,407
2000-0674-SGP,408
2000-0676-KGZ,409
