"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2000-0021-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2000-01-02","2000-01-04","2003-07-01","2023-09-25"
"2000-0067-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No","249","Kph","2000-02-13","2000-02-14","2005-04-24","2023-09-25"
"2000-0080-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain","Slide (land, mud, snow, rock)","No","No","No","55000","Km2","2000-02-18","2000-02-22","2005-09-16","2023-09-25"
"2000-0128-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","113","Km2","2000-02-26","2000-02-26","2003-07-01","2023-09-25"
"2000-0175-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2000-03-28","2000-03-28","2003-07-01","2023-09-25"
"2000-0232-USA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Brief torrential rain",NULL,"No","No","No",NULL,"Km2","2000-05-06","2000-05-09","2005-09-16","2023-09-25"
"2000-0240-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","194","Km2","2000-05-01","2000-09-01","2006-08-15","2023-09-25"
"2000-0271-USA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Brief torrential rain",NULL,"No","No","No",NULL,"Km2","2000-05-06","2000-05-09","2005-09-16","2023-09-25"
"2000-0279-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","16","Km2","2000-05-14","2000-05-14","2003-07-01","2023-09-25"
"2000-0296-USA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2000-05-19","2000-05-19","2003-07-01","2023-09-25"
"2000-0297-USA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2000-05-23","2000-05-23","2003-07-01","2023-09-25"
"2000-0338-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2000-05-26","2000-05-26","2003-07-01","2023-09-25"
"2000-0360-USA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NULL,NULL,"No","No","No",NULL,"Kph","2000-05-23","2000-05-23","2003-07-01","2023-09-25"
