DisNo,ISO,Historic,ClassificationKey,DisasterGroup,DisasterSubgroup,DisasterType,DisasterSubtype,AssociatedTypes,Country,Subregion,Region,Location,OFDABHAResponse,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,TotalDeaths,NoInjured,NoAffected,TotalAffected,InsuredDamage,InsuredDamageAdjusted,TotalDamage,TotalDamageAdjusted,CPI,AdminUnits,EntryDate,LastUpdate
2000-0021-USA,USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",No,2000,1,2.0,2000,1.0,4.0,1.0,12.0,,162.0,200500.0,354778.0,210000.0,371587.0,56.51429055927763,"[{""adm2_code"":29698,""adm2_name"":""Crittenden""},{""adm2_code"":29700,""adm2_name"":""Daviess""},{""adm2_code"":29787,""adm2_name"":""Webster""}]",2003-07-01,2023-09-25
2000-0067-USA,USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",No,2000,2,13.0,2000,2.0,14.0,22.0,100.0,900.0,1000.0,,,,,56.51429055927763,"[{""adm2_code"":28696,""adm2_name"":""Bullock""},{""adm2_code"":28741,""adm2_name"":""Montgomery""},{""adm2_code"":28832,""adm2_name"":""Lonoke""},{""adm2_code"":28848,""adm2_name"":""Prairie""},{""adm2_code"":28851,""adm2_name"":""Saline""},{""adm2_code"":29064,""adm2_name"":""Washington""},{""adm2_code"":29099,""adm2_name"":""Colquitt""},{""adm2_code"":29107,""adm2_name"":""Decatur""},{""adm2_code"":29129,""adm2_name"":""Grady""},{""adm2_code"":29165,""adm2_name"":""Mitchell""},{""adm2_code"":29200,""adm2_name"":""Thomas""},{""adm2_code"":29201,""adm2_name"":""Tift""}]",2005-04-24,2023-09-25
2000-0080-USA,USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,"Slide (land, mud, snow, rock)",United States of America,Northern America,Americas,"Kentucky, Ohio provinces",No,2000,2,18.0,2000,2.0,22.0,3.0,,231.0,231.0,,,,,56.51429055927763,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3249,""adm1_name"":""Ohio""}]",2005-09-16,2023-09-25
2000-0128-USA,USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",No,2000,2,26.0,2000,2.0,26.0,,,600.0,600.0,,,,,56.51429055927763,"[{""adm2_code"":28998,""adm2_name"":""Alachua""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29030,""adm2_name"":""Lafayette""}]",2003-07-01,2023-09-25
2000-0175-USA,USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",No,2000,3,28.0,2000,3.0,28.0,5.0,,3000.0,3300.0,,,450000.0,796259.0,56.51429055927763,"[{""adm2_code"":31225,""adm2_name"":""Burleson""},{""adm2_code"":31391,""adm2_name"":""Reagan""},{""adm2_code"":31419,""adm2_name"":""Tarrant""}]",2003-07-01,2023-09-25
2000-0232-USA,USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,United States of America,Northern America,Americas,"Franklin, Jefferson districts (Missouri province)",No,2000,5,6.0,2000,5.0,9.0,2.0,,,2000.0,,,,,56.51429055927763,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",2005-09-16,2023-09-25
2000-0240-USA,USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",No,2000,5,,2000,9.0,,,,25000.0,25400.0,200500.0,354778.0,1500000.0,2654196.0,56.51429055927763,"[{""adm2_code"":30487,""adm2_name"":""Los Alamos""},{""adm2_code"":30493,""adm2_name"":""Rio Arriba""},{""adm2_code"":30497,""adm2_name"":""Sandoval""},{""adm2_code"":30498,""adm2_name"":""Santa Fe""}]",2006-08-15,2023-09-25
2000-0271-USA,USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,United States of America,Northern America,Americas,Oklahoma province,No,2000,5,6.0,2000,5.0,9.0,1.0,,300.0,300.0,,,,,56.51429055927763,"[{""adm1_code"":3250,""adm1_name"":""Oklahoma""}]",2005-09-16,2023-09-25
2000-0279-USA,USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,United States of America,Northern America,Americas,Sarasota district (Florida province),No,2000,5,14.0,2000,5.0,14.0,,,,,,,,,56.51429055927763,"[{""adm2_code"":29053,""adm2_name"":""Sarasota""}]",2003-07-01,2023-09-25
2000-0296-USA,USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,United States of America,Northern America,Americas,Liberty district (Texas province),No,2000,5,19.0,2000,5.0,19.0,,,240.0,240.0,,,,,56.51429055927763,"[{""adm2_code"":31345,""adm2_name"":""Liberty""}]",2003-07-01,2023-09-25
2000-0297-USA,USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,United States of America,Northern America,Americas,"Franklin, Jefferson, Gasconade districts (Missouri province)",No,2000,5,23.0,2000,5.0,23.0,2.0,,300.0,300.0,,,100000.0,176946.0,56.51429055927763,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30197,""adm2_name"":""Gasconade""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",2003-07-01,2023-09-25
2000-0338-USA,USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,United States of America,Northern America,Americas,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)",No,2000,5,26.0,2000,5.0,26.0,,,,,,,28500.0,50430.0,56.51429055927763,"[{""adm2_code"":31724,""adm2_name"":""Adams""},{""adm2_code"":31734,""adm2_name"":""Columbia""},{""adm2_code"":31735,""adm2_name"":""Crawford""},{""adm2_code"":31736,""adm2_name"":""Dane""},{""adm2_code"":31737,""adm2_name"":""Dodge""},{""adm2_code"":31745,""adm2_name"":""Grant""},{""adm2_code"":31746,""adm2_name"":""Green""},{""adm2_code"":31748,""adm2_name"":""Iowa""},{""adm2_code"":31752,""adm2_name"":""Juneau""},{""adm2_code"":31755,""adm2_name"":""La Crosse""},{""adm2_code"":31756,""adm2_name"":""Lafayette""},{""adm2_code"":31765,""adm2_name"":""Monroe""},{""adm2_code"":31776,""adm2_name"":""Richland""},{""adm2_code"":31777,""adm2_name"":""Rock""},{""adm2_code"":31779,""adm2_name"":""Sauk""},{""adm2_code"":31786,""adm2_name"":""Vernon""}]",2003-07-01,2023-09-25
2000-0360-USA,USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,United States of America,Northern America,Americas,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)",No,2000,5,23.0,2000,5.0,23.0,,,,,,,,,56.51429055927763,"[{""adm2_code"":31105,""adm2_name"":""Anderson""},{""adm2_code"":31107,""adm2_name"":""Benton""},{""adm2_code"":31115,""adm2_name"":""Cheatham""},{""adm2_code"":31123,""adm2_name"":""Davidson""},{""adm2_code"":31144,""adm2_name"":""Henry""},{""adm2_code"":31145,""adm2_name"":""Hickman""},{""adm2_code"":31146,""adm2_name"":""Houston""},{""adm2_code"":31148,""adm2_name"":""Jackson""},{""adm2_code"":31151,""adm2_name"":""Knox""},{""adm2_code"":31152,""adm2_name"":""Lake""},{""adm2_code"":31170,""adm2_name"":""Obion""},{""adm2_code"":31172,""adm2_name"":""Perry""},{""adm2_code"":31173,""adm2_name"":""Pickett""},{""adm2_code"":31185,""adm2_name"":""Stewart""}]",2003-07-01,2023-09-25
