"location_id","country","iso_code","region","subregion","state_province"
1,"USA","US","Americas","North America","Alabama"
2,"USA","US","Americas","North America","Alaska"
3,"USA","US","Americas","North America","Arizona"
4,"USA","US","Americas","North America","Arkansas"
5,"USA","US","Americas","North America","California"
6,"USA","US","Americas","North America","Colorado"
7,"USA","US","Americas","North America","Connecticut"
8,"USA","US","Americas","North America","Delaware"
9,"USA","US","Americas","North America","Florida"
10,"USA","US","Americas","North America","Georgia"
11,"USA","US","Americas","North America","Hawaii"
12,"USA","US","Americas","North America","Idaho"
13,"USA","US","Americas","North America","Illinois"
14,"USA","US","Americas","North America","Indiana"
15,"USA","US","Americas","North America","Iowa"
16,"USA","US","Americas","North America","Kansas"
17,"USA","US","Americas","North America","Kentucky"
18,"USA","US","Americas","North America","Louisiana"
19,"USA","US","Americas","North America","Maine"
20,"USA","US","Americas","North America","Maryland"
21,"USA","US","Americas","North America","Massachusetts"
22,"USA","US","Americas","North America","Michigan"
23,"USA","US","Americas","North America","Minnesota"
24,"USA","US","Americas","North America","Mississippi"
25,"USA","US","Americas","North America","Missouri"
26,"USA","US","Americas","North America","Montana"
27,"USA","US","Americas","North America","Nebraska"
28,"USA","US","Americas","North America","Nevada"
29,"USA","US","Americas","North America","New Hampshire"
30,"USA","US","Americas","North America","New Jersey"
31,"USA","US","Americas","North America","New Mexico"
32,"USA","US","Americas","North America","New York"
33,"USA","US","Americas","North America","North Carolina"
34,"USA","US","Americas","North America","North Dakota"
35,"USA","US","Americas","North America","Ohio"
36,"USA","US","Americas","North America","Oklahoma"
37,"USA","US","Americas","North America","Oregon"
38,"USA","US","Americas","North America","Pennsylvania"
39,"USA","US","Americas","North America","Rhode Island"
40,"USA","US","Americas","North America","South Carolina"
41,"USA","US","Americas","North America","South Dakota"
42,"USA","US","Americas","North America","Tennessee"
43,"USA","US","Americas","North America","Texas"
44,"USA","US","Americas","North America","Utah"
45,"USA","US","Americas","North America","Vermont"
46,"USA","US","Americas","North America","Virginia"
47,"USA","US","Americas","North America","Washington province"
48,"USA","US","Americas","North America","West Virginia"
49,"USA","US","Americas","North America","Wisconsin"
50,"USA","US","Americas","North America","Wyoming"
209,"BGD","BD","Asia","Southern Asia","Dhaka"
210,"BGD","BD","Asia","Southern Asia","Khulna"
211,"BGD","BD","Asia","Southern Asia","Rajshahi"
212,"BGD","BD","Asia","Southern Asia","Rangpur"
213,"BGD","BD","Asia","Southern Asia","Sylhet"
214,"IRN","IR","Asia","Southern Asia","Gilan"
215,"IND","IN","Asia","Southern Asia","Bihar"
216,"IND","IN","Asia","Southern Asia","Uttar Pradesh"
217,"IND","IN","Asia","Southern Asia","West Bengal"
218,"CHN","CN","Asia","Eastern Asia","Yunnan"
219,"PHL","PH","Asia","South-eastern Asia","Agusan del Norte"
220,"PHL","PH","Asia","South-eastern Asia","Agusan del Sur"
221,"PHL","PH","Asia","South-eastern Asia","Davao Oriental"
222,"PHL","PH","Asia","South-eastern Asia","Davao del Norte"
223,"PHL","PH","Asia","South-eastern Asia","Surigao del Sur"
224,"CHN","CN","Asia","Eastern Asia","Liaoning"
225,"MNG","MN","Asia","Eastern Asia","Bulgan"
226,"MNG","MN","Asia","Eastern Asia","Dundgovi"
227,"AFG","AF","Asia","Southern Asia","Ghor"
228,"AFG","AF","Asia","Southern Asia","Kunduz"
229,"PHL","PH","Asia","South-eastern Asia","Tawi-Tawi"
230,"IDN","ID","Asia","South-eastern Asia","Jawa Tengah"
231,"PHL","PH","Asia","South-eastern Asia","Albay"
232,"ISR","IL","Asia","Western Asia","Tel Aviv"
233,"JOR","JO","Asia","Western Asia","Irbid"
234,"JOR","JO","Asia","Western Asia","Jarash"
235,"JOR","JO","Asia","Western Asia","Ma'an"
236,"JOR","JO","Asia","Western Asia","Madaba"
237,"IDN","ID","Asia","South-eastern Asia","Riau"
238,"PAK","PK","Asia","Southern Asia","Sindh"
239,"CHN","CN","Asia","Eastern Asia","Shanxi"
240,"MYS","MY","Asia","South-eastern Asia","Sarawak"
241,"CHN","CN","Asia","Eastern Asia","Xinjiang Uygur"
242,"JPN","JP","Asia","Eastern Asia","Hokkaido"
243,"TUR","TR","Asia","Western Asia","Balikesir"
244,"TUR","TR","Asia","Western Asia","Bursa"
245,"TUR","TR","Asia","Western Asia","Canakkale"
246,"CHN","CN","Asia","Eastern Asia","Guangdong"
247,"IDN","ID","Asia","South-eastern Asia","Sulawesi Tengah"
248,"PHL","PH","Asia","South-eastern Asia","National Capital Region"
249,"CHN","CN","Asia","Eastern Asia","Guangxi Zhuangzu"
250,"CHN","CN","Asia","Eastern Asia","Hainan"
251,"TUR","TR","Asia","Western Asia","Malatya"
252,"JPN","JP","Asia","Eastern Asia","Ibaraki"
253,"TUR","TR","Asia","Western Asia","Samsun"
254,"TUR","TR","Asia","Western Asia","Tokat"
255,"TUR","TR","Asia","Western Asia","Ankara"
256,"TUR","TR","Asia","Western Asia","Cankiri"
257,"IDN","ID","Asia","South-eastern Asia","Bengkulu"
258,"CHN","CN","Asia","Eastern Asia","Gansu"
259,"CHN","CN","Asia","Eastern Asia","Guizhou"
260,"CHN","CN","Asia","Eastern Asia","Sichuan"
261,"AFG","AF","Asia","Southern Asia","Herat"
262,"PAK","PK","Asia","Southern Asia","Punjab"
263,"IND","IN","Asia","Southern Asia","Delhi"
264,"IND","IN","Asia","Southern Asia","Andhra Pradesh"
265,"IND","IN","Asia","Southern Asia","Arunachal Pradesh"
266,"IND","IN","Asia","Southern Asia","Assam"
267,"CHN","CN","Asia","Eastern Asia","Fujian"
268,"IND","IN","Asia","Southern Asia","Uttarakhand"
269,"VNM","VN","Asia","South-eastern Asia","Nam Dinh"
270,"CHN","CN","Asia","Eastern Asia","Jiangxi"
271,"TUR","TR","Asia","Western Asia","Adana"
272,"TUR","TR","Asia","Western Asia","Adiyaman"
273,"TUR","TR","Asia","Western Asia","Agri"
274,"TUR","TR","Asia","Western Asia","Aksaray"
275,"TUR","TR","Asia","Western Asia","Amasya"
276,"TUR","TR","Asia","Western Asia","Antalya"
277,"TUR","TR","Asia","Western Asia","Ardahan"
278,"TUR","TR","Asia","Western Asia","Artvin"
279,"TUR","TR","Asia","Western Asia","Aydin"
280,"TUR","TR","Asia","Western Asia","Bartin"
281,"TUR","TR","Asia","Western Asia","Batman"
282,"TUR","TR","Asia","Western Asia","Bayburt"
283,"TUR","TR","Asia","Western Asia","Bilecik"
284,"TUR","TR","Asia","Western Asia","Bingol"
285,"TUR","TR","Asia","Western Asia","Bitlis"
286,"TUR","TR","Asia","Western Asia","Bolu"
287,"TUR","TR","Asia","Western Asia","Burdur"
288,"TUR","TR","Asia","Western Asia","Corum"
289,"TUR","TR","Asia","Western Asia","Denizli"
290,"TUR","TR","Asia","Western Asia","Diyarbakir"
291,"TUR","TR","Asia","Western Asia","Edirne"
292,"TUR","TR","Asia","Western Asia","Elazig"
293,"TUR","TR","Asia","Western Asia","Erzincan"
294,"TUR","TR","Asia","Western Asia","Erzurum"
295,"TUR","TR","Asia","Western Asia","Eskisehir"
296,"TUR","TR","Asia","Western Asia","Gaziantep"
297,"TUR","TR","Asia","Western Asia","Giresun"
298,"TUR","TR","Asia","Western Asia","Gumushane"
299,"TUR","TR","Asia","Western Asia","Hakkari"
300,"TUR","TR","Asia","Western Asia","Hatay"
301,"TUR","TR","Asia","Western Asia","Igdir"
302,"TUR","TR","Asia","Western Asia","Isparta"
303,"TUR","TR","Asia","Western Asia","Istanbul"
304,"TUR","TR","Asia","Western Asia","Izmir"
305,"TUR","TR","Asia","Western Asia","Karabuk"
306,"TUR","TR","Asia","Western Asia","Karaman"
307,"TUR","TR","Asia","Western Asia","Kars"
308,"TUR","TR","Asia","Western Asia","Kastamonu"
309,"TUR","TR","Asia","Western Asia","Kayseri"
310,"TUR","TR","Asia","Western Asia","Kilis"
311,"TUR","TR","Asia","Western Asia","Kirikkale"
312,"TUR","TR","Asia","Western Asia","Kirklareli"
313,"TUR","TR","Asia","Western Asia","Kirsehir"
314,"TUR","TR","Asia","Western Asia","Kocaeli"
315,"TUR","TR","Asia","Western Asia","Konya"
316,"TUR","TR","Asia","Western Asia","Kutahya"
317,"TUR","TR","Asia","Western Asia","Manisa"
318,"TUR","TR","Asia","Western Asia","Mardin"
319,"TUR","TR","Asia","Western Asia","Mugla"
320,"TUR","TR","Asia","Western Asia","Mus"
321,"TUR","TR","Asia","Western Asia","Nevsehir"
322,"TUR","TR","Asia","Western Asia","Nigde"
323,"TUR","TR","Asia","Western Asia","Ordu"
324,"TUR","TR","Asia","Western Asia","Osmaniye"
325,"TUR","TR","Asia","Western Asia","Rize"
326,"TUR","TR","Asia","Western Asia","Sakarya"
327,"TUR","TR","Asia","Western Asia","Sanliurfa"
328,"TUR","TR","Asia","Western Asia","Siirt"
329,"TUR","TR","Asia","Western Asia","Sinop"
330,"TUR","TR","Asia","Western Asia","Sirnak"
331,"TUR","TR","Asia","Western Asia","Sivas"
332,"TUR","TR","Asia","Western Asia","Tekirdag"
333,"TUR","TR","Asia","Western Asia","Trabzon"
334,"TUR","TR","Asia","Western Asia","Tunceli"
335,"TUR","TR","Asia","Western Asia","Usak"
336,"TUR","TR","Asia","Western Asia","Van"
337,"TUR","TR","Asia","Western Asia","Yalova"
338,"TUR","TR","Asia","Western Asia","Yozgat"
339,"TUR","TR","Asia","Western Asia","Zonguldak"
340,"PHL","PH","Asia","South-eastern Asia","Cavite"
341,"PHL","PH","Asia","South-eastern Asia","Iloilo"
342,"PHL","PH","Asia","South-eastern Asia","Mindoro Oriental"
343,"PHL","PH","Asia","South-eastern Asia","Negros Occidental"
344,"PHL","PH","Asia","South-eastern Asia","Quezon"
345,"PHL","PH","Asia","South-eastern Asia","Rizal"
346,"THA","TH","Asia","South-eastern Asia","Chiang Rai"
347,"VNM","VN","Asia","South-eastern Asia","An Giang"
348,"VNM","VN","Asia","South-eastern Asia","Can Tho"
349,"VNM","VN","Asia","South-eastern Asia","Dong Thap"
350,"VNM","VN","Asia","South-eastern Asia","Kien Giang"
351,"VNM","VN","Asia","South-eastern Asia","Long An"
352,"VNM","VN","Asia","South-eastern Asia","Tien Giang"
353,"VNM","VN","Asia","South-eastern Asia","Vinh Long"
354,"IND","IN","Asia","Southern Asia","Maharashtra"
355,"CHN","CN","Asia","Eastern Asia","Jiangsu"
356,"KHM","KH","Asia","South-eastern Asia","Kampong Chhnang"
357,"KHM","KH","Asia","South-eastern Asia","Kampot"
358,"KHM","KH","Asia","South-eastern Asia","Phnom Penh"
359,"KHM","KH","Asia","South-eastern Asia","Preah Vihear"
360,"VNM","VN","Asia","South-eastern Asia","Lao Cai"
361,"IND","IN","Asia","Southern Asia","Chandigarh"
362,"IND","IN","Asia","Southern Asia","Gujarat"
363,"IND","IN","Asia","Southern Asia","Himachal Pradesh"
364,"IND","IN","Asia","Southern Asia","Kerala"
365,"IND","IN","Asia","Southern Asia","Madhya Pradesh"
366,"IND","IN","Asia","Southern Asia","Punjab"
367,"IND","IN","Asia","Southern Asia","Rajasthan"
368,"THA","TH","Asia","South-eastern Asia","Amnat Charoen"
369,"THA","TH","Asia","South-eastern Asia","Kalasin"
370,"THA","TH","Asia","South-eastern Asia","Loei"
